date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:42	357/357	---MCZ	200	added ('OK')	text/plain	date:Sat,%2001%20Jun%202024%2013:40:42%20GMT	https://transfermoneyfromgreendotto6.wordpress.com/robots.txt		(from )
19:10:43	85716/85716	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2013:40:42%20GMT	https://transfermoneyfromgreendotto6.wordpress.com/	C:/My%20Web%20Sites/Transfer-Money-From-Greendot-To-Paypal/transfermoneyfromgreendotto6.wordpress.com/index.html	(from )
19:10:43	16469/16469	---MCZ	200	added ('OK')	text/css	etag:W/16484-1716578174231.7524	https://s2.wp.com/wp-content/plugins/gutenberg-core/v18.4.1/build/block-library/blocks/navigation/style.css?m=1716578158i&cssminify=yes	C:/My%20Web%20Sites/Transfer-Money-From-Greendot-To-Paypal/s2.wp.com/wp-content/plugins/gutenberg-core/v18.4.1/build/block-library/blocks/navigation/style7204.css	(from https://transfermoneyfromgreendotto6.wordpress.com/)
19:10:43	1642/1642	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2001%20Jun%202024%2013:40:43%20GMT	https://transfermoneyfromgreendotto6.wordpress.com/feed/	C:/My%20Web%20Sites/Transfer-Money-From-Greendot-To-Paypal/transfermoneyfromgreendotto6.wordpress.com/feed/index.html	(from https://transfermoneyfromgreendotto6.wordpress.com/)
19:10:43	928/928	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22812d8417fe9aab463c1d0cfa3671390a%22	https://transfermoneyfromgreendotto6.wordpress.com/comments/feed/	C:/My%20Web%20Sites/Transfer-Money-From-Greendot-To-Paypal/transfermoneyfromgreendotto6.wordpress.com/comments/feed/index.html	(from https://transfermoneyfromgreendotto6.wordpress.com/)
19:10:43	369/369	---M--	200	added ('OK')	text/css	etag:%226466d548-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/Transfer-Money-From-Greendot-To-Paypal/s1.wp.com/_static/indexd02a.html	(from https://transfermoneyfromgreendotto6.wordpress.com/)
19:10:43	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684465074401.1533	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/My%20Web%20Sites/Transfer-Money-From-Greendot-To-Paypal/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://transfermoneyfromgreendotto6.wordpress.com/)
19:10:44	965/965	---MCZ	200	added ('OK')	text/xml	date:Sat,%2001%20Jun%202024%2013:40:44%20GMT	https://transfermoneyfromgreendotto6.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Transfer-Money-From-Greendot-To-Paypal/transfermoneyfromgreendotto6.wordpress.com/xmlrpc0db0.php	(from https://transfermoneyfromgreendotto6.wordpress.com/)
19:10:44	6211/6211	---M--	200	added ('OK')	image/png	etag:%2266278e2e-1843%22	https://s2.wp.com/i/webclip.png	C:/My%20Web%20Sites/Transfer-Money-From-Greendot-To-Paypal/s2.wp.com/i/webclip.png	(from https://transfermoneyfromgreendotto6.wordpress.com/)
19:10:44	1536/1536	---MCZ	200	added ('OK')	application/xml	date:Sat,%2001%20Jun%202024%2013:40:44%20GMT	https://transfermoneyfromgreendotto6.wordpress.com/osd.xml	C:/My%20Web%20Sites/Transfer-Money-From-Greendot-To-Paypal/transfermoneyfromgreendotto6.wordpress.com/osd.xml	(from https://transfermoneyfromgreendotto6.wordpress.com/)
